mass	m	mass		of [body:bodies]
mass-per-length	$m	mass per length		of [body:bodies]
mass-change-magnitude	dmdt	magnitude of mass change per unit time		of [body:bodies] due to [body2:bodies] at [time:times]
radius	r			
distance	s	distance traveled		by [body:bodies] at time [time:times]
distance-between	d	distance		between [body:bodies] and [body2:bodies] at [time:times]
speed	v			
duration	t	duration of time		from [body:times] to [time2:times]
angle				
coef-friction	$m	coef. of friction		between [body:bodies] and [body2:bodies]
work	W	work		done on [body:bodies] by [body2:bodies] at time [time:times]
power	P	power		supplied to [body:bodies] by [body2:bodies] at time [time:times]
net-power-out	P	power output	total power	produced by [body:bodies] at time [time:times]
intensity	I	intensity		supplied to [body:bodies] by [body2:bodies] at time [time:times]
db-intensity	$b	decibels	intensity (in decibels)	supplied to [body:bodies] by [body2:bodies] at time [time:times]
electric-power	P	electric power		transferred through [body:bodies] at time [time:times]
energy				
compression	d	compression distance		of [body:bodies] at time [time:times]
spring-constant	k	spring constant		of [body:bodies]
height	h	height		of [body:bodies] at time [time:times]
moment-of-inertia	I	moment of inertia		of [body:bodies] at time [time:times]
length		length		of [body:bodies]
width		width		of [body:bodies]
current	I			
voltage	V			
resistance	R			
capacitance	C			
charge	q	charge		on [body:bodies] at time [time:times]
potential	V	potential		at [body:positions] due to [body2:bodies] at time [time:times]
stored-energy	U	energy stored		in [body:bodies] at time [time:times]
inductance	L	inductance		of [body:bodies]
current-change	dIdt	rate of change of current		through [body:bodies] at time [time:times]
time-constant	$t	time constant		of circuit containing [body:bodies]
object-distance	do	object distance		with respect to [body:bodies]
image-distance	di	image distance		with respect to [body:bodies]
focal-length	f	focal length		of [body:bodies]
magnification	m	magnification		of [body:bodies]
radius-of-curvature	r	radius of curvature		of [body:bodies]
lens-distance	d	distance		between [body:bodies] and [body2:bodies]
mass-density	$r	mass density		of [body:bodies]
pressure	P	pressure		at [body:positions]  at time [time:times]
area-at	A	cross-sectional area		at [body:positions]  at time [time:times]
area	A	area		of [body:bodies] at time [time:times]
radius-of-circle	r	circle radius		of [body:bodies] at time [time:times]
volume	V	volume		of [body:bodies] at time [time:times]
wavelength	$l	wavelength		of [body:bodies] moving in [body2:bodies]
wavenumber	k	wave-number		of [body:bodies] moving in [body2:bodies]
period	T	period		of oscillations of [body:bodies]
frequency	f	frequency		of oscillations of [body:bodies]
observed-frequency	f	frequency (observed)	frequency	of [body:bodies] as observed by [body2:bodies] at time [time:times]
angular-frequency	$w	angular frequency		for oscillations of [body:bodies]
wave-speed	v	speed of wave	speed of waves	moving in [body:bodies]
string-tension	Ft	tension on a string	tension	on [body:bodies]
amplitude	A	amplitude		for oscillations of [body:bodies]
amplitude-max-speed	vmax	maximum speed of oscillation		for oscillations of [body:bodies]
amplitude-max-abs-acceleration	amax	maximum magnitude of acceleration		for oscillations of [body:bodies]
